start_time_datetime,(All),,,
,,,,
Row Labels,Sum of start_time_hour,Count of start_time_datetime,Sum of duration_second,Sum of totalWeightSum
1 AM,,,,
Mar,2,2,28,755488
:15,8,8,116,6026760
Strawberries,8,8,116,6026760
Mar,8,8,116,6026760
:19,6,6,108,3091024
Strawberries,6,6,108,3091024
Mar,6,6,108,3091024
:20,4,4,76,1408519
Strawberries,4,4,76,1408519
Mar,4,4,76,1408519
:23,6,6,134,3787024
Strawberries,6,6,134,3787024
Mar,6,6,134,3787024
:24,4,4,92,1475776
Strawberries,4,4,92,1475776
Mar,4,4,92,1475776
:27,6,6,160,4226440
Strawberries,6,6,160,4226440
Mar,6,6,160,4226440
:28,4,4,108,1071481
Strawberries,4,4,108,1071481
Mar,4,4,108,1071481
:32,4,4,128,1186192
Strawberries,4,4,128,1186192
Mar,4,4,128,1186192
:33,8,8,258,3193158
Strawberries,8,8,258,3193158
Mar,8,8,258,3193158
:34,6,6,202,1124120
Strawberries,6,6,202,1124120
Mar,6,6,202,1124120
:35,1,1,34,25496
Strawberries,1,1,34,25496
Mar,1,1,34,25496
:36,5,5,180,501656
Strawberries,5,5,180,501656
Mar,5,5,180,501656
:37,4,4,144,420192
Strawberries,4,4,144,420192
Mar,4,4,144,420192
:39,6,6,234,5605832
Strawberries,6,6,234,5605832
Mar,6,6,234,5605832
:40,6,6,238,1774873
Strawberries,6,6,238,1774873
Mar,6,6,238,1774873
:43,6,6,258,6005624
Strawberries,6,6,258,6005624
Mar,6,6,258,6005624
:44,6,6,262,1885062
Strawberries,6,6,262,1885062
Mar,6,6,262,1885062
:47,4,4,188,2012656
Strawberries,4,4,188,2012656
Apr,4,4,188,2012656
:48,5,5,236,3127759
Strawberries,5,5,236,3127759
Apr,5,5,236,3127759
:49,4,4,192,1045969
Strawberries,4,4,192,1045969
Apr,4,4,192,1045969
:52,8,8,410,6141232
Strawberries,8,8,410,6141232
Apr,8,8,410,6141232
:53,4,4,208,1426829
Strawberries,4,4,208,1426829
Apr,4,4,208,1426829
:56,8,8,444,7395416
Strawberries,8,8,444,7395416
Apr,8,8,444,7395416
:57,5,5,285,1516326
Strawberries,5,5,285,1516326
Apr,5,5,285,1516326
:29,,,,
:02,10,10,12,7791390
Strawberries,10,10,12,7791390
Apr,10,10,12,7791390
:03,6,6,17,1676407
Strawberries,6,6,17,1676407
Apr,6,6,17,1676407
:04,1,1,3,154400
